Sample,Sample<->Recognize,Recognize,Recognize<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.064907,0.000010,0.208169,0.000016,0.000165,0.000010,0.000002,0.273280
0.092888,0.000013,0.288667,0.000020,0.000121,0.000013,0.000001,0.381723
0.081747,0.000014,0.277056,0.000015,0.000177,0.000015,0.000002,0.359027
0.065554,0.000010,0.259501,0.000016,0.000001,0.000002,0.000001,0.325086
0.063272,0.000010,0.190696,0.000016,0.000001,0.000002,0.000001,0.253998
0.068455,0.000013,0.279030,0.000018,0.000211,0.000015,0.000002,0.347743
0.093201,0.000013,0.240689,0.000004,0.000145,0.000015,0.000002,0.334068
0.084724,0.000010,0.177882,0.000017,0.000001,0.000002,0.000001,0.262636
0.090041,0.000018,0.234220,0.000019,0.000002,0.000003,0.000002,0.324305
0.068105,0.000004,0.199688,0.000017,0.000201,0.000013,0.000001,0.268029
0.079462,0.000013,0.239139,0.000021,0.000002,0.000003,0.000002,0.318643
0.067139,0.000011,0.249764,0.000015,0.000185,0.000012,0.000001,0.317127
0.063283,0.000010,0.204469,0.000013,0.000168,0.000003,0.000001,0.267948
0.069001,0.000011,0.207343,0.000014,0.000121,0.000011,0.000001,0.276502
0.090310,0.000014,0.259935,0.000016,0.000120,0.000012,0.000001,0.350408
0.063807,0.000010,0.207709,0.000016,0.000202,0.000038,0.000002,0.271784
0.068350,0.000014,0.256099,0.000016,0.000250,0.000011,0.000002,0.324742
0.093934,0.000014,0.345846,0.000020,0.000143,0.000012,0.000002,0.439971
0.063390,0.000010,0.176264,0.000019,0.000002,0.000003,0.000001,0.239689
0.075666,0.000012,0.313276,0.000019,0.000157,0.000013,0.000002,0.389147
0.064872,0.000010,0.186630,0.000016,0.000140,0.000013,0.000002,0.251683
0.092478,0.000019,0.264503,0.000016,0.000122,0.000012,0.000002,0.357151
0.064467,0.000009,0.184994,0.000016,0.000141,0.000018,0.000002,0.249645
0.089230,0.000013,0.286976,0.000020,0.000164,0.000011,0.000001,0.376416
0.066018,0.000009,0.193323,0.000016,0.000186,0.000016,0.000002,0.259570
0.067962,0.000010,0.247790,0.000015,0.000126,0.000012,0.000002,0.315917
0.088287,0.000014,0.230067,0.000017,0.000217,0.000014,0.000002,0.318618
0.065589,0.000011,0.229950,0.000020,0.000207,0.000014,0.000002,0.295792
0.084894,0.000013,0.355382,0.000021,0.000002,0.000004,0.000002,0.440317
0.065052,0.000011,0.201165,0.000016,0.000221,0.000016,0.000002,0.266483
0.088285,0.000016,0.321338,0.000017,0.000142,0.000011,0.000001,0.409809
0.073206,0.000013,0.275737,0.000015,0.000115,0.000013,0.000001,0.349100
0.063745,0.000012,0.285607,0.000043,0.000161,0.000013,0.000001,0.349583
0.090404,0.000018,0.203818,0.000016,0.000215,0.000005,0.000001,0.294477
0.090711,0.000013,0.272855,0.000017,0.000156,0.000013,0.000002,0.363766
0.090152,0.000013,0.334044,0.000021,0.000165,0.000010,0.000001,0.424406
0.071555,0.000015,0.204831,0.000007,0.000306,0.000013,0.000002,0.276730
0.063872,0.000010,0.286102,0.000015,0.000133,0.000013,0.000001,0.350145
0.065241,0.000011,0.310831,0.000020,0.000213,0.000016,0.000002,0.376332
0.090929,0.000013,0.281528,0.000004,0.000213,0.000005,0.000001,0.372694
