Sample,Sample<->Dispatcher-extractor,Dispatcher-extractor,Dispatcher-extractor<->Extractor,Extractor,Extractor<->Collect-extractor,Collect-extractor,Collect-extractor<->Dispatcher-lookup,Dispatcher-lookup,Dispatcher-lookup<->Lookup,Lookup,Lookup<->Collect-lookup,Collect-lookup,Collect-lookup<->Stat,Stat,Total
0.072202,0.004200,0.000001,0.002418,0.170453,0.003306,0.000001,0.005256,0.000001,0.003123,0.000026,0.002643,0.000001,0.003463,0.000002,0.267096
0.080707,0.004871,0.000001,0.001876,0.074318,0.002357,0.000001,0.004998,0.000001,0.004160,0.000071,0.003853,0.000001,0.004181,0.000002,0.181398
0.074793,0.005460,0.000001,0.002117,0.072881,0.002597,0.000001,0.005382,0.000001,0.002994,0.000028,0.002409,0.000001,0.004086,0.000002,0.172751
0.062179,0.004786,0.000001,0.001944,0.162611,0.003039,0.000001,0.005386,0.000001,0.002826,0.000023,0.002457,0.000001,0.003412,0.000001,0.248668
0.066232,0.004730,0.000001,0.001519,0.074290,0.002269,0.000001,0.006704,0.000001,0.002535,0.000019,0.002505,0.000001,0.004444,0.000002,0.165251
0.071803,0.003878,0.000001,0.001485,0.071577,0.002265,0.000001,0.004651,0.000001,0.001548,0.000012,0.002366,0.000001,0.004038,0.000002,0.163629
0.070644,0.006564,0.000001,0.002340,0.171145,0.002874,0.000001,0.005365,0.000001,0.001554,0.000010,0.002153,0.000001,0.004029,0.000002,0.266684
0.076011,0.004410,0.000001,0.001878,0.155489,0.003713,0.000001,0.005808,0.000002,0.008605,0.000079,0.006606,0.000001,0.004106,0.000002,0.266712
0.067124,0.004301,0.000001,0.001456,0.071585,0.002796,0.000001,0.005846,0.000001,0.009045,0.000051,0.006403,0.000001,0.003383,0.000001,0.171995
0.062368,0.004306,0.000001,0.002159,0.072736,0.002908,0.000001,0.005093,0.000001,0.009859,0.000053,0.006752,0.000001,0.003836,0.000002,0.170075
0.071642,0.004825,0.000001,0.001337,0.066733,0.002460,0.000001,0.004725,0.000001,0.008022,0.000063,0.006193,0.000001,0.004352,0.000002,0.170357
0.072941,0.004525,0.000001,0.001998,0.171618,0.003249,0.000001,0.006271,0.000001,0.009766,0.000053,0.006150,0.000001,0.003150,0.000002,0.279725
0.076537,0.004430,0.000001,0.001898,0.067620,0.002792,0.000001,0.004523,0.000001,0.008668,0.000044,0.005875,0.000001,0.003510,0.000002,0.175902
0.065385,0.004531,0.000001,0.001379,0.143915,0.002047,0.000001,0.004889,0.000001,0.011341,0.000079,0.005835,0.000001,0.004514,0.000002,0.243919
0.055573,0.003848,0.000001,0.001672,0.069387,0.002365,0.000001,0.005076,0.000001,0.008483,0.000049,0.005989,0.000001,0.004007,0.000002,0.156455
0.067856,0.004267,0.000001,0.002244,0.148875,0.002388,0.000001,0.005348,0.000001,0.009622,0.000060,0.006305,0.000001,0.003691,0.000002,0.250660
0.062775,0.003986,0.000001,0.001509,0.100646,0.002889,0.000001,0.004595,0.000001,0.008599,0.000051,0.006259,0.000001,0.005973,0.000002,0.197286
0.061525,0.004296,0.000001,0.001601,0.153466,0.002892,0.000001,0.004554,0.000001,0.009376,0.000053,0.006471,0.000001,0.005083,0.000002,0.249323
0.105700,0.005108,0.000001,0.001498,0.072367,0.012892,0.000001,0.004901,0.000001,0.003142,0.000024,0.002669,0.000001,0.003508,0.000002,0.211814
0.090437,0.004498,0.000001,0.001558,0.073171,0.002784,0.000001,0.004886,0.000001,0.008968,0.000052,0.006390,0.000001,0.003431,0.000001,0.196179
0.077054,0.005068,0.000001,0.002052,0.072986,0.003499,0.000002,0.005050,0.000001,0.020276,0.000052,0.006407,0.000001,0.003353,0.000002,0.195804
0.071912,0.004401,0.000001,0.001698,0.160711,0.003121,0.000001,0.005473,0.000001,0.009092,0.000056,0.007170,0.000001,0.004181,0.000002,0.267821
0.066741,0.006563,0.000001,0.001862,0.077217,0.002698,0.000001,0.005671,0.000001,0.011681,0.000043,0.006864,0.000001,0.003794,0.000002,0.183138
0.071806,0.005513,0.000001,0.001760,0.165398,0.003295,0.000001,0.005669,0.000001,0.009158,0.000044,0.006903,0.000001,0.003775,0.000002,0.273327
0.061272,0.006290,0.000001,0.001952,0.079724,0.003547,0.000001,0.006166,0.000001,0.010420,0.000044,0.006611,0.000001,0.003509,0.000001,0.179539
0.063776,0.005799,0.000001,0.001866,0.160392,0.004112,0.000001,0.005569,0.000001,0.003937,0.000031,0.004358,0.000001,0.004119,0.000002,0.253964
0.081619,0.006063,0.000001,0.001466,0.101693,0.002415,0.000001,0.005653,0.000001,0.010938,0.000080,0.006878,0.000001,0.005196,0.000002,0.222005
0.080957,0.005123,0.000001,0.002940,0.076782,0.002768,0.000001,0.005594,0.000001,0.009090,0.000041,0.006701,0.000001,0.004825,0.000002,0.194826
0.075375,0.004530,0.000001,0.001800,0.163355,0.003176,0.000001,0.005937,0.000001,0.010207,0.000061,0.006701,0.000001,0.004104,0.000002,0.275251
0.064065,0.004010,0.000000,0.002071,0.070025,0.002715,0.000001,0.005279,0.000001,0.003136,0.000030,0.002718,0.000001,0.003855,0.000001,0.157907
0.069136,0.004401,0.000001,0.001900,0.094957,0.002837,0.000001,0.006360,0.000001,0.008828,0.016493,0.006489,0.000001,0.003304,0.000002,0.214710
0.073833,0.005420,0.000001,0.001631,0.179609,0.003151,0.000001,0.005362,0.000001,0.009315,0.014857,0.006858,0.000001,0.004383,0.000002,0.304424
0.083957,0.003987,0.000001,0.001806,0.069796,0.002962,0.000001,0.004900,0.000001,0.008503,0.000059,0.005944,0.000001,0.003610,0.000002,0.185529
0.083127,0.004630,0.000001,0.002046,0.147872,0.003003,0.000001,0.004583,0.000001,0.003087,0.000028,0.002201,0.000001,0.002908,0.000002,0.253488
0.072501,0.004626,0.000001,0.001439,0.088098,0.002713,0.000001,0.004835,0.000001,0.003284,0.000028,0.003263,0.000001,0.003833,0.000002,0.184625
0.066370,0.005283,0.000001,0.002292,0.109691,0.003402,0.000001,0.006751,0.000001,0.009437,0.015817,0.007915,0.000001,0.004704,0.000002,0.231667
0.077442,0.004892,0.000001,0.002025,0.190080,0.010485,0.000001,0.008428,0.000001,0.012673,0.014091,0.008234,0.000001,0.004975,0.000002,0.333331
0.074282,0.004542,0.000001,0.001642,0.073723,0.002879,0.000001,0.004881,0.000001,0.003407,0.000028,0.003340,0.000001,0.004250,0.000002,0.172978
0.077912,0.004751,0.000001,0.001404,0.093210,0.002639,0.000001,0.005156,0.000001,0.012748,0.000125,0.007630,0.000001,0.003452,0.000002,0.209030
0.068761,0.004312,0.000001,0.001560,0.189453,0.002575,0.000001,0.005666,0.000019,0.009242,0.000050,0.007843,0.000001,0.004554,0.000001,0.294038
0.065494,0.003988,0.000001,0.002080,0.095881,0.003257,0.000001,0.005660,0.000001,0.010195,0.000060,0.006910,0.000001,0.003449,0.000001,0.196978
0.065775,0.003846,0.000000,0.002477,0.174263,0.003168,0.000001,0.005677,0.000001,0.009301,0.000050,0.007043,0.000001,0.003093,0.000002,0.274698
0.081174,0.003446,0.000001,0.001866,0.082261,0.002485,0.000001,0.005361,0.000001,0.003479,0.000026,0.002560,0.000001,0.003405,0.000002,0.186071
0.064527,0.004063,0.000000,0.001651,0.177264,0.002755,0.000001,0.007089,0.000001,0.002986,0.000021,0.002681,0.000001,0.003716,0.000003,0.266758
0.061780,0.003908,0.000001,0.001782,0.096352,0.002737,0.000001,0.004411,0.000001,0.010092,0.017663,0.008880,0.000001,0.004333,0.000003,0.211942
0.060695,0.003547,0.000001,0.002098,0.085901,0.002680,0.000001,0.004717,0.000001,0.009692,0.000060,0.010382,0.000001,0.004635,0.000001,0.184412
0.073104,0.004445,0.000001,0.002120,0.175628,0.002878,0.000001,0.004901,0.000001,0.003157,0.014141,0.002548,0.000001,0.003905,0.000002,0.286831
0.062096,0.003715,0.000001,0.001764,0.146559,0.002549,0.000001,0.004764,0.000001,0.008335,0.000049,0.006240,0.000001,0.003430,0.000002,0.239507
0.080192,0.003524,0.000001,0.001846,0.082475,0.002576,0.000001,0.004797,0.000001,0.007710,0.000042,0.006077,0.000001,0.003591,0.000001,0.192834
0.098663,0.005181,0.000001,0.001707,0.091089,0.002110,0.000001,0.005132,0.000001,0.009338,0.016025,0.006086,0.000001,0.005382,0.000002,0.240717
0.065869,0.005226,0.000001,0.002025,0.102688,0.003217,0.000001,0.004892,0.000001,0.001763,0.000014,0.002147,0.000001,0.004363,0.000003,0.192210
0.066385,0.003797,0.000001,0.002600,0.146814,0.003196,0.000001,0.004197,0.000001,0.008822,0.000073,0.005672,0.000001,0.003671,0.000002,0.245232
0.066404,0.005968,0.000001,0.002172,0.074122,0.003114,0.000001,0.004637,0.000001,0.008796,0.000049,0.006269,0.000001,0.004129,0.000002,0.175665
0.074601,0.004489,0.000001,0.001425,0.151497,0.003031,0.000001,0.004890,0.000001,0.003490,0.000027,0.002173,0.000001,0.003680,0.000002,0.249308
0.076074,0.004566,0.000001,0.001917,0.156621,0.003403,0.000001,0.005475,0.000001,0.003353,0.000023,0.002522,0.000001,0.004626,0.000002,0.258584
0.073161,0.005090,0.000001,0.001948,0.071454,0.002788,0.000001,0.004915,0.000001,0.002304,0.000017,0.002375,0.000001,0.004941,0.000002,0.168997
0.071587,0.005734,0.000001,0.001835,0.112820,0.003323,0.000001,0.007667,0.000001,0.009608,0.014666,0.007244,0.000001,0.005103,0.000002,0.239592
0.065144,0.004873,0.000001,0.001808,0.097993,0.002888,0.000001,0.010788,0.000001,0.003537,0.000029,0.002867,0.000001,0.004584,0.000002,0.194516
0.073479,0.004672,0.000001,0.001463,0.093506,0.003327,0.000001,0.006133,0.000001,0.003883,0.014302,0.003325,0.000001,0.005384,0.000002,0.209478
0.064686,0.004853,0.000001,0.001635,0.240679,0.003324,0.000001,0.007202,0.000001,0.002685,0.028187,0.003922,0.000001,0.004059,0.000002,0.361236
0.071056,0.004507,0.000001,0.001886,0.196577,0.002847,0.000001,0.005327,0.000001,0.004337,0.000031,0.003025,0.000001,0.003757,0.000002,0.293356
0.068299,0.004817,0.000001,0.001321,0.092250,0.002312,0.000001,0.005709,0.000001,0.002521,0.014051,0.002330,0.000001,0.003673,0.000001,0.197287
0.074262,0.008090,0.000001,0.001321,0.145311,0.002662,0.000001,0.004916,0.000001,0.010148,0.015921,0.010553,0.000001,0.003784,0.000002,0.276971
0.061313,0.004629,0.000001,0.002199,0.075465,0.003130,0.000001,0.004435,0.000001,0.008735,0.000061,0.005849,0.000001,0.004149,0.000002,0.169970
0.072985,0.005315,0.000001,0.001990,0.182895,0.003140,0.000001,0.006177,0.000001,0.003142,0.014214,0.002432,0.000001,0.004751,0.000003,0.297048
0.062353,0.004624,0.000001,0.002682,0.082780,0.002895,0.000001,0.005069,0.000001,0.001793,0.000012,0.002376,0.000001,0.004564,0.000002,0.169153
0.060616,0.005567,0.000001,0.002016,0.210810,0.003504,0.000001,0.005409,0.000001,0.001840,0.000011,0.002345,0.000001,0.004758,0.000002,0.296882
0.088781,0.003874,0.000001,0.001832,0.086786,0.003749,0.000001,0.007215,0.000001,0.001989,0.014238,0.002456,0.000001,0.004735,0.000001,0.215661
0.064788,0.004017,0.000001,0.002200,0.094282,0.003125,0.000001,0.004657,0.000001,0.001955,0.013718,0.002288,0.000001,0.003513,0.000002,0.194548
0.073140,0.005143,0.000001,0.002439,0.166593,0.002648,0.000001,0.005551,0.000001,0.002323,0.014053,0.002666,0.000001,0.003682,0.000002,0.278245
