Sample,Sample<->Extractor,Extractor,Extractor<->Lookup,Lookup,Total
0.059544,1.351000,0.236280,0.005001,0.015281,1.667107
0.062620,1.355833,0.195567,0.004455,0.018587,1.637061
0.062639,1.322363,0.287791,0.003242,0.000039,1.676074
0.085429,1.428704,0.117994,0.004145,0.017166,1.653438
0.062984,1.353478,0.291270,0.004183,0.014518,1.726432
0.062621,1.470460,0.102104,0.002659,0.000031,1.637875
0.066508,1.443163,0.223179,0.003731,0.000064,1.736645
0.061112,1.443061,0.245742,0.002654,0.000059,1.752628
0.087297,1.475499,0.111323,0.003076,0.016871,1.694067
0.104473,1.435864,0.250383,0.002983,0.014691,1.808394
0.073527,1.510468,0.109553,0.009431,0.014443,1.717421
0.068797,1.494214,0.246345,0.006460,0.022418,1.838234
0.059911,1.561858,0.114595,0.004286,0.014973,1.755622
0.067817,1.577246,0.110998,0.004455,0.015718,1.776234
0.065043,1.513416,0.304424,0.003384,0.000038,1.886305
0.087624,1.511954,0.256599,0.004680,0.014609,1.875466
0.091691,1.602721,0.109351,0.003921,0.000063,1.807748
0.058664,1.576904,0.245852,0.003602,0.015397,1.900420
0.058127,1.641866,0.082492,0.002597,0.000069,1.785151
0.075813,1.641435,0.109466,0.002844,0.014738,1.844296
0.097539,1.586318,0.287561,0.003382,0.014827,1.989626
0.075006,1.609025,0.279097,0.003319,0.000083,1.966530
0.065109,1.654675,0.199995,0.002784,0.000059,1.922622
0.080117,1.716021,0.074024,0.002060,0.000067,1.872289
0.062410,1.674398,0.105416,0.003577,0.000105,1.845906
0.063775,1.689409,0.189804,0.001737,0.000034,1.944760
0.061220,1.703677,0.241777,0.003063,0.000043,2.009780
0.072076,1.698178,0.267563,0.002619,0.016104,2.056541
0.091896,1.716746,0.109107,0.005083,0.014903,1.937736
0.076065,1.759757,0.113198,0.004546,0.014854,1.968421
0.061318,1.747895,0.219901,0.004887,0.014428,2.048429
0.075468,1.774327,0.136206,0.010299,0.000049,1.996350
0.096799,1.743511,0.280791,0.006039,0.014277,2.141417
0.075356,1.853849,0.102479,0.004886,0.000053,2.036623
0.080439,1.704676,0.305806,0.003681,0.015559,2.110161
0.062105,1.860957,0.109886,0.005078,0.014717,2.052744
0.067982,1.853343,0.237972,0.003362,0.016823,2.179482
0.064780,1.826336,0.257569,0.003765,0.014305,2.166755
0.060873,1.905918,0.110657,0.004555,0.014754,2.096757
0.063460,1.836111,0.262520,0.003899,0.014678,2.180668
0.062847,1.921699,0.108406,0.003213,0.014284,2.110449
0.087595,1.909160,0.084482,0.002218,0.000080,2.083536
0.060393,1.934111,0.269990,0.007110,0.000063,2.271668
0.098227,1.915422,0.084718,0.011507,0.000045,2.109918
0.062575,1.916726,0.222381,0.017999,0.014591,2.234272
0.090976,1.899675,0.252099,0.002136,0.000051,2.244937
0.086063,1.971781,0.112914,0.006128,0.000041,2.176927
0.072674,1.957151,0.213788,0.005374,0.015700,2.264687
0.082354,1.963452,0.108764,0.004792,0.014868,2.174231
0.061833,1.938640,0.274415,0.003321,0.014839,2.293048
0.075810,2.037301,0.116117,0.003862,0.015004,2.248095
0.062632,2.014069,0.297568,0.004635,0.014868,2.393772
0.079330,2.049472,0.118690,0.004829,0.014459,2.266781
0.069220,2.016335,0.265727,0.005120,0.015199,2.371601
0.064321,2.042644,0.241743,0.007532,0.014695,2.370935
0.075889,2.099815,0.110827,0.011531,0.013968,2.312029
0.068961,2.116557,0.108384,0.003930,0.014593,2.312425
0.060339,2.135304,0.102954,0.003240,0.014718,2.316554
0.061070,2.090994,0.204156,0.012231,0.014822,2.383274
0.075278,2.106309,0.284092,0.004426,0.014663,2.484768
0.066744,2.114758,0.231788,0.003564,0.000183,2.417036
0.062969,2.203819,0.112003,0.002744,0.014658,2.396194
0.092023,2.149648,0.118169,0.003670,0.014552,2.378062
0.064328,2.192731,0.248640,0.003907,0.014406,2.524011
0.103108,2.112536,0.232436,0.004798,0.014457,2.467335
0.062449,2.170552,0.309437,0.009470,0.000051,2.551958
0.070367,2.254009,0.112535,0.003915,0.014125,2.454951
0.060367,2.249655,0.109834,0.004190,0.014386,2.438431
0.070575,2.266926,0.233533,0.003883,0.014505,2.589422
0.066761,2.247802,0.269552,0.004022,0.014057,2.602194
0.062753,2.325611,0.116649,0.008138,0.018617,2.531768
0.060144,2.280387,0.275053,0.003740,0.014800,2.634124
0.062163,2.357125,0.116978,0.003368,0.015474,2.555108
0.060875,2.374364,0.103677,0.004203,0.014690,2.557809
0.062792,2.344576,0.269907,0.007902,0.014586,2.699763
0.063363,2.355075,0.222551,0.003354,0.015265,2.659608
0.060780,2.342820,0.286628,0.009763,0.014003,2.713993
0.060795,2.445432,0.106930,0.002833,0.016451,2.632441
0.061367,2.430082,0.110106,0.004265,0.014802,2.620622
0.061873,2.414209,0.237010,0.003416,0.014921,2.731429
0.087789,2.447257,0.106313,0.003581,0.014847,2.659787
0.060020,2.445839,0.271734,0.004263,0.014751,2.796606
0.062531,2.419530,0.272147,0.003163,0.015608,2.772979
0.067469,2.504554,0.105154,0.003589,0.014973,2.695739
0.075147,2.469293,0.216398,0.002710,0.016515,2.780063
0.075599,2.509039,0.108297,0.004723,0.014498,2.712156
0.065684,2.526878,0.109102,0.004270,0.014493,2.720426
0.082743,2.497231,0.238580,0.003642,0.014247,2.836442
0.068521,2.507343,0.227229,0.003287,0.015110,2.821490
0.061225,2.575929,0.111243,0.003429,0.014509,2.766335
0.062515,2.528646,0.285472,0.004277,0.014264,2.895175
0.086980,2.561992,0.107389,0.003538,0.014376,2.774275
0.062818,2.553306,0.266717,0.003604,0.015353,2.901798
0.088787,2.622807,0.106902,0.007510,0.014772,2.840777
0.063816,2.575857,0.249587,0.010094,0.014573,2.913928
0.060435,2.657616,0.075804,0.002042,0.000050,2.795948
0.066347,2.661351,0.069915,0.000612,0.000046,2.798271
0.069789,2.643775,0.194246,0.001962,0.014484,2.924256
0.085643,2.604117,0.257649,0.008187,0.014256,2.969853
0.076360,2.692170,0.074192,0.000571,0.000061,2.843354
0.079447,2.610932,0.223867,0.001481,0.000062,2.915789
0.064096,2.676922,0.070138,0.001122,0.000038,2.812316
0.069412,2.675731,0.164949,0.000428,0.000044,2.910564
0.060776,2.685196,0.063564,0.000094,0.000035,2.809664
0.073497,2.648182,0.212781,0.001294,0.000054,2.935809
0.060311,2.681899,0.064728,0.000037,0.000043,2.807019
0.062863,2.651077,0.202489,0.001113,0.000031,2.917573
0.059987,2.683181,0.140444,-0.000149,0.000036,2.883499
0.059148,2.681534,0.063689,-0.000135,0.000043,2.804279
0.077721,2.622453,0.062423,0.000522,0.000073,2.763192
0.059685,2.675637,0.188447,0.000586,0.000044,2.924397
0.091717,2.625695,0.135976,0.000746,0.000082,2.854218
0.065156,2.666376,0.063073,0.000462,0.000061,2.795127
0.059751,2.657845,0.189578,0.000612,0.000059,2.907845
0.064128,2.633291,0.063498,-0.000143,0.000032,2.760805
0.076242,2.615571,0.061964,0.000557,0.000041,2.754376
0.059574,2.660393,0.169427,0.001446,0.000328,2.891168
0.063542,2.659529,0.204717,0.001358,0.000057,2.929202
0.081426,2.588429,0.169874,0.000549,0.000055,2.840334
0.071210,2.648856,0.064743,0.000753,0.000035,2.785595
0.067485,2.582322,0.065442,0.000031,0.000042,2.715322
0.065730,2.653377,0.150597,0.000109,0.000033,2.869845
0.066405,2.618235,0.062876,0.000219,0.000037,2.747771
0.072233,2.610591,0.064139,0.003758,0.000038,2.750760
0.082231,2.612236,0.220083,0.007704,0.000041,2.922295
0.077825,2.597429,0.212054,0.006833,0.000068,2.894210
0.064059,2.642053,0.142057,0.000215,0.000034,2.848418
0.066966,2.645150,0.067717,0.003534,0.000046,2.783413
0.099206,2.582375,0.066676,0.000424,0.000059,2.748740
0.065543,2.613054,0.200122,0.000879,0.000083,2.879682
0.063437,2.611845,0.067887,0.003377,0.000071,2.746618
0.062035,2.593604,0.201069,0.000908,0.000042,2.857658
0.085410,2.560621,0.149309,0.000482,0.000052,2.795874
0.062294,2.651303,0.075800,0.000640,0.000033,2.790071
0.059158,2.594650,0.079337,0.001580,0.000034,2.734759
0.074297,2.580215,0.156377,0.001190,0.000034,2.812113
0.081234,2.601042,0.216919,0.001647,0.000058,2.900900
0.081534,2.620802,0.077971,0.002120,0.000046,2.782472
0.061785,2.563324,0.263031,0.001645,0.000037,2.889823
0.065634,2.616355,0.066741,0.000627,0.000030,2.749387
0.074409,2.602543,0.156843,0.000543,0.000036,2.834374
0.085315,2.597236,0.070770,0.000852,0.000035,2.754207
0.067873,2.630060,0.203473,0.000665,0.000034,2.902105
0.064586,2.622580,0.068344,0.001287,0.000036,2.756834
0.071205,2.597615,0.157029,0.001318,0.000035,2.827203
0.063892,2.631393,0.209621,0.000860,0.000038,2.905803
0.086777,2.602087,0.071222,0.001572,0.000034,2.761692
0.073319,2.586395,0.072656,0.001900,0.000057,2.734327
0.076745,2.614688,0.158728,0.006323,0.000033,2.856518
0.060077,2.642313,0.214957,0.008870,0.000099,2.926316
