Sample,Sample<->Dispatcher-extractor,Dispatcher-extractor,Dispatcher-extractor<->Extractor,Extractor,Extractor<->Collect-extractor,Collect-extractor,Collect-extractor<->Dispatcher-lookup,Dispatcher-lookup,Dispatcher-lookup<->Lookup,Lookup,Lookup<->Collect-lookup,Collect-lookup,Collect-lookup<->Stat,Stat,Total
0.073095,0.004603,0.000001,0.001830,0.072551,0.002704,0.000001,0.004878,0.000001,0.002706,0.000024,0.002527,0.000001,0.002667,0.000001,0.167588
0.065316,0.005516,0.000001,0.002555,0.074008,0.003671,0.000001,0.006601,0.000001,0.002769,0.000021,0.003798,0.000001,0.003341,0.000001,0.167601
0.076754,0.005818,0.000001,0.001936,0.157989,0.004076,0.000001,0.005458,0.000001,0.008754,0.000041,0.006675,0.000001,0.002598,0.000001,0.270105
0.062205,0.004724,0.000001,0.001803,0.073869,0.002856,0.000001,0.005564,0.000001,0.009268,0.000057,0.006791,0.000001,0.003049,0.000001,0.170191
0.068632,0.004215,0.000001,0.002458,0.158642,0.003600,0.000001,0.005391,0.000001,0.008801,0.000042,0.006457,0.000001,0.003373,0.000002,0.261615
0.077365,0.005595,0.000001,0.001911,0.079860,0.002875,0.000001,0.004553,0.000001,0.012995,0.000115,0.010479,0.000001,0.005125,0.000002,0.200878
0.073782,0.004725,0.000001,0.001997,0.072067,0.002958,0.000001,0.005684,0.000001,0.003520,0.000030,0.003004,0.000001,0.003578,0.000001,0.171349
0.060178,0.005486,0.000001,0.001693,0.197619,0.003564,0.000001,0.005179,0.000001,0.009153,0.000066,0.006821,0.000001,0.004798,0.000002,0.294561
0.072292,0.004023,0.000001,0.001835,0.075710,0.002043,0.000001,0.004442,0.000001,0.002628,0.000021,0.002079,0.000001,0.003665,0.000002,0.168743
0.064426,0.005027,0.000001,0.001798,0.068514,0.003004,0.000001,0.005029,0.000001,0.002811,0.000029,0.002193,0.000001,0.002983,0.000002,0.155821
0.074099,0.004397,0.000001,0.001836,0.156284,0.002882,0.000001,0.005129,0.000001,0.008827,0.000051,0.006083,0.000001,0.003900,0.000002,0.263495
0.066599,0.004246,0.000001,0.001787,0.151113,0.002943,0.000001,0.004507,0.000001,0.002517,0.000024,0.002402,0.000001,0.003101,0.000002,0.239243
0.072224,0.005128,0.000001,0.001678,0.071668,0.002975,0.000001,0.004423,0.000001,0.008651,0.000061,0.006228,0.000001,0.003611,0.000002,0.176650
0.071297,0.005188,0.000001,0.001527,0.072754,0.002916,0.000001,0.005868,0.000001,0.008869,0.000050,0.006502,0.000001,0.005221,0.000002,0.180198
0.077138,0.003953,0.000001,0.002824,0.166130,0.002654,0.000001,0.005194,0.000001,0.008839,0.000050,0.006055,0.000001,0.003480,0.000002,0.276322
0.078760,0.004761,0.000001,0.002482,0.072574,0.002888,0.000001,0.005654,0.000001,0.011226,0.000058,0.006750,0.000001,0.004066,0.000002,0.189223
0.068628,0.003697,0.000000,0.001643,0.073298,0.002180,0.000001,0.005096,0.000001,0.008705,0.000049,0.006651,0.000001,0.003769,0.000002,0.173722
0.071266,0.004231,0.000001,0.001470,0.157293,0.002319,0.000001,0.005208,0.000001,0.003311,0.000024,0.003149,0.000001,0.003574,0.000002,0.251850
