Sample,Sample<->Dispatcher-,Dispatcher-,Dispatcher-<->Extractor,Extractor,Extractor<->Collect-,Collect-,Collect-<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.066515,0.025457,0.000001,0.002624,0.191160,0.001654,0.000000,0.002042,0.000015,0.002117,0.000001,0.291588
0.061252,0.058472,0.000001,0.002013,0.210772,0.001900,0.000001,0.001624,0.000014,0.001260,0.000001,0.337308
0.073038,0.002038,0.000001,0.002630,0.298880,0.001994,0.000001,0.001164,0.014186,0.001432,0.000001,0.395363
0.063123,0.015075,0.000000,0.002119,0.212818,0.001932,0.000001,0.001155,0.000012,0.002287,0.000001,0.298524
0.061125,0.001974,0.000001,0.002423,0.236443,0.002529,0.000001,0.001719,0.000016,0.001688,0.000001,0.307919
0.095905,0.003365,0.000001,0.002766,0.195033,0.001950,0.000000,0.001090,0.000011,0.001051,0.000000,0.301174
0.077315,0.002976,0.000001,0.002643,0.262670,0.002308,0.000001,0.001593,0.000011,0.001672,0.000001,0.351190
0.064628,0.001925,0.000001,0.002460,0.238760,0.002491,0.000001,0.002109,0.014628,0.001844,0.000001,0.328847
0.074167,0.002390,0.000001,0.002821,0.258335,0.001993,0.000000,0.001495,0.000009,0.001407,0.000001,0.342618
0.065096,0.002185,0.000001,0.002678,0.252250,0.002087,0.000000,0.001048,0.000008,0.001066,0.000001,0.326421
0.065108,0.023762,0.000001,0.002604,0.291030,0.002046,0.000000,0.001079,0.028397,0.001303,0.000000,0.415330
0.072159,0.002954,0.000001,0.002359,0.266884,0.002264,0.000000,0.001316,0.014222,0.001628,0.000001,0.363789
0.081992,0.002430,0.000001,0.002533,0.264447,0.001821,0.000001,0.001254,0.000012,0.001162,0.000001,0.355653
0.067424,0.009280,0.000001,0.002097,0.291655,0.003087,0.000001,0.002835,0.014177,0.001225,0.000001,0.391782
0.092329,0.015050,0.000001,0.002508,0.219547,0.001496,0.000000,0.000994,0.000006,0.001055,0.000001,0.332986
0.080590,0.004296,0.000001,0.002781,0.332808,0.001975,0.000000,0.001908,0.014942,0.001270,0.000001,0.440572
0.059746,0.002715,0.000001,0.002637,0.305215,0.001738,0.000000,0.001096,0.014559,0.001231,0.000001,0.388939
0.102193,0.002917,0.000001,0.002491,0.218926,0.001433,0.000000,0.001179,0.000008,0.000985,0.000001,0.330134
0.079755,0.001946,0.000001,0.002189,0.208546,0.001505,0.000001,0.000941,0.000005,0.001084,0.000001,0.295974
0.061468,0.014825,0.000000,0.002445,0.209292,0.001867,0.000000,0.001111,0.014360,0.001120,0.000001,0.306490
0.061596,0.022141,0.000000,0.002127,0.224207,0.002539,0.000001,0.001819,0.014560,0.001723,0.000001,0.330714
0.061739,0.082069,0.000001,0.002377,0.217293,0.001999,0.000000,0.001261,0.014547,0.001118,0.000001,0.382405
0.061869,0.061340,0.000000,0.002520,0.270563,0.001932,0.000000,0.001815,0.014510,0.001134,0.000001,0.415684
0.094579,0.002775,0.000001,0.002613,0.229184,0.001934,0.000000,0.002558,0.014229,0.001122,0.000001,0.348997
0.079985,0.002344,0.000001,0.002594,0.214482,0.002685,0.000000,0.001819,0.014478,0.001183,0.000001,0.319573
0.071967,0.002064,0.000000,0.002609,0.262062,0.002008,0.000000,0.001390,0.014322,0.001117,0.000001,0.357540
0.107142,0.002207,0.000000,0.002644,0.357957,0.001828,0.000000,0.001660,0.000007,0.001108,0.000000,0.474556
0.075664,0.002405,0.000001,0.002708,0.280717,0.001664,0.000000,0.001654,0.000007,0.001142,0.000001,0.365964
