Sample,Sample<->Dispatcher-,Dispatcher-,Dispatcher-<->Extractor,Extractor,Extractor<->Collect-,Collect-,Collect-<->Lookup,Lookup,Lookup<->Stat,Stat,Total
0.093615,0.001776,0.000001,0.002408,0.263020,0.001916,0.000000,0.000930,0.000011,0.001558,0.000001,0.365235
0.074510,0.002143,0.000001,0.002241,0.187114,0.002085,0.000001,0.001291,0.000010,0.001397,0.000001,0.270793
0.067180,0.002130,0.000001,0.002560,0.264117,0.002469,0.000001,0.001192,0.000010,0.001093,0.000001,0.340753
0.068573,0.002004,0.000001,0.002193,0.224494,0.001872,0.000001,0.001068,0.000021,0.001279,0.000001,0.301505
0.093818,0.002170,0.000001,0.002660,0.185162,0.001786,0.000000,0.001036,0.000009,0.001075,0.000001,0.287718
0.104245,0.002211,0.000001,0.002660,0.188470,0.001915,0.000000,0.000992,0.000007,0.001123,0.000001,0.301626
0.060055,0.002059,0.000001,0.002608,0.178556,0.002003,0.000001,0.001195,0.000008,0.001087,0.000001,0.247573
0.079535,0.002026,0.000001,0.002608,0.267457,0.001871,0.000000,0.001006,0.000008,0.001198,0.000002,0.355712
0.062552,0.002685,0.000001,0.002659,0.225403,0.002044,0.000001,0.001143,0.000008,0.001055,0.000001,0.297551
0.099215,0.002353,0.000001,0.002473,0.188683,0.001891,0.000000,0.001049,0.000009,0.001495,0.000000,0.297169
0.066598,0.002132,0.000001,0.002279,0.177638,0.001951,0.000000,0.001009,0.000010,0.001154,0.000001,0.252773
0.086111,0.001997,0.000001,0.002414,0.231018,0.001785,0.000000,0.000964,0.000008,0.001021,0.000001,0.325320
0.065780,0.001996,0.000001,0.001974,0.167113,0.001712,0.000001,0.000911,0.000008,0.000988,0.000001,0.240485
0.064641,0.002436,0.000001,0.002326,0.277144,0.002128,0.000000,0.000991,0.000008,0.001054,0.000001,0.350730
0.066854,0.001688,0.000000,0.002343,0.198674,0.001626,0.000000,0.000908,0.000008,0.000998,0.000001,0.273101
0.081947,0.002601,0.000001,0.002230,0.233483,0.001839,0.000000,0.001029,0.000007,0.001013,0.000001,0.324150
0.068506,0.002070,0.000001,0.002934,0.183249,0.001959,0.000000,0.001050,0.000008,0.001088,0.000001,0.260867
0.060143,0.001966,0.000001,0.002433,0.279135,0.002056,0.000001,0.000993,0.000010,0.001022,0.000001,0.347760
0.064591,0.002091,0.000001,0.002587,0.246484,0.001831,0.000001,0.001058,0.000011,0.001124,0.000001,0.319779
0.062283,0.002061,0.000001,0.002119,0.242163,0.001797,0.000000,0.001032,0.000010,0.002060,0.000001,0.313526
0.080697,0.002186,0.000001,0.003046,0.213158,0.001812,0.000001,0.001079,0.000008,0.001515,0.000001,0.303504
0.069119,0.002077,0.000000,0.002142,0.187605,0.001800,0.000001,0.001156,0.000011,0.001190,0.000001,0.265101
0.066574,0.002069,0.000001,0.002533,0.264525,0.001846,0.000001,0.001031,0.000008,0.001125,0.000001,0.339713
0.066797,0.002195,0.000001,0.002515,0.220242,0.001936,0.000001,0.001061,0.000011,0.001135,0.000001,0.295893
0.071662,0.002136,0.000001,0.002650,0.201169,0.001854,0.000000,0.001051,0.000007,0.001143,0.000001,0.281674
0.062355,0.002221,0.000001,0.002613,0.200115,0.001978,0.000000,0.001063,0.000008,0.001184,0.000001,0.271538
0.071953,0.002829,0.000001,0.002680,0.229969,0.002345,0.000000,0.001010,0.000006,0.001215,0.000001,0.312008
0.064368,0.002273,0.000000,0.002273,0.206760,0.001963,0.000001,0.001036,0.000008,0.001089,0.000001,0.279772
0.062491,0.002341,0.000000,0.002612,0.268713,0.002476,0.000001,0.001580,0.000012,0.001433,0.000001,0.341660
0.061845,0.010085,0.000001,0.002424,0.203497,0.001823,0.000000,0.001011,0.000008,0.001073,0.000001,0.281769
0.061687,0.002160,0.000001,0.002240,0.266110,0.001828,0.000000,0.001290,0.000011,0.001616,0.000001,0.336944
0.061582,0.002337,0.000001,0.002724,0.225292,0.001946,0.000001,0.001091,0.014523,0.001483,0.000001,0.310980
0.061797,0.001836,0.000000,0.002258,0.229384,0.001792,0.000000,0.000925,0.000010,0.001017,0.000001,0.299021
0.062736,0.001987,0.000001,0.002106,0.201907,0.001737,0.000000,0.000918,0.000008,0.001039,0.000001,0.272440
0.061819,0.001950,0.000001,0.002519,0.256774,0.001881,0.000000,0.001046,0.014551,0.001100,0.000001,0.341641
0.074187,0.003534,0.000001,0.002303,0.255580,0.001744,0.000000,0.001367,0.000012,0.001217,0.000001,0.339947
0.063618,0.002357,0.000000,0.002733,0.225308,0.001894,0.000001,0.001231,0.000008,0.001722,0.000001,0.298872
0.069013,0.003634,0.000001,0.002612,0.283630,0.001963,0.000001,0.001061,0.014468,0.001194,0.000001,0.377576
0.062620,0.002172,0.000001,0.002666,0.222996,0.002040,0.000001,0.001394,0.014361,0.001353,0.000001,0.309605
0.062396,0.002720,0.000001,0.002947,0.275982,0.001764,0.000000,0.001326,0.000009,0.001120,0.000001,0.348266
0.062519,0.002153,0.000001,0.002233,0.242959,0.001594,0.000000,0.001006,0.000009,0.001045,0.000001,0.313519
0.062657,0.002169,0.000001,0.002598,0.221134,0.001601,0.000001,0.001088,0.000008,0.001056,0.000001,0.292314
0.060187,0.002056,0.000000,0.002942,0.250837,0.001812,0.000000,0.001004,0.000008,0.001340,0.000001,0.320189
0.090436,0.002420,0.000001,0.002506,0.199319,0.002013,0.000001,0.001170,0.000010,0.001199,0.000001,0.299074
0.062006,0.010176,0.000001,0.002651,0.291689,0.001959,0.000001,0.001543,0.000013,0.002598,0.000001,0.372637
0.107695,0.002308,0.000001,0.002701,0.233659,0.001765,0.000001,0.001085,0.000013,0.001107,0.000001,0.350336
0.062906,0.001726,0.000001,0.001986,0.156359,0.001724,0.000000,0.000893,0.000009,0.000906,0.000001,0.226511
0.064837,0.002065,0.000000,0.002203,0.268786,0.001927,0.000000,0.001404,0.014578,0.001227,0.000001,0.357027
0.068188,0.002227,0.000001,0.002593,0.314055,0.001862,0.000001,0.001060,0.014555,0.001179,0.000001,0.405723
0.064636,0.001873,0.000001,0.002492,0.289788,0.001855,0.000000,0.001066,0.000011,0.002233,0.000001,0.363956
0.083294,0.014871,0.000001,0.002029,0.211130,0.002175,0.000001,0.002080,0.000012,0.001172,0.000001,0.316764
0.085461,0.001901,0.000001,0.002035,0.274262,0.001826,0.000000,0.001167,0.014498,0.001171,0.000001,0.382324
0.081607,0.001989,0.000001,0.002334,0.228902,0.001934,0.000001,0.000949,0.000008,0.001037,0.000001,0.318762
0.059267,0.002668,0.000001,0.002166,0.210376,0.002008,0.000001,0.001391,0.000011,0.001143,0.000001,0.279031
0.069200,0.002033,0.000001,0.002320,0.252562,0.001835,0.000000,0.000993,0.000010,0.001231,0.000001,0.330188
0.062019,0.015770,0.000001,0.002161,0.229329,0.001749,0.000000,0.001015,0.000010,0.001053,0.000001,0.313109
0.076565,0.002109,0.000001,0.002550,0.210663,0.001977,0.000001,0.001128,0.000008,0.001059,0.000001,0.296062
0.059730,0.002008,0.000001,0.002473,0.217686,0.002453,0.000000,0.001204,0.014402,0.001241,0.000001,0.301199
0.063572,0.004573,0.000001,0.002693,0.197389,0.003721,0.000001,0.002562,0.000015,0.002067,0.000001,0.276595
0.063432,0.021876,0.000001,0.002925,0.293032,0.002091,0.000000,0.001128,0.029118,0.001448,0.000001,0.415053
0.082463,0.002307,0.000001,0.002391,0.300778,0.001797,0.000001,0.001829,0.000008,0.001110,0.000001,0.392685
0.070242,0.002069,0.000000,0.002542,0.273983,0.001912,0.000001,0.001830,0.000007,0.001111,0.000001,0.353698
0.078654,0.002690,0.000001,0.002760,0.322250,0.002009,0.000001,0.001924,0.014588,0.001191,0.000001,0.426069
0.073720,0.002015,0.000001,0.002257,0.243702,0.002523,0.000001,0.001065,0.014942,0.001433,0.000001,0.341660
0.066530,0.005525,0.000001,0.002197,0.227522,0.002052,0.000001,0.001103,0.014117,0.001231,0.000001,0.320279
0.067802,0.002076,0.000001,0.002611,0.301233,0.002191,0.000001,0.001436,0.013943,0.001142,0.000001,0.392436
